date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:26:21	708/708	---MCZ	200	added ('OK')	text/plain	etag:W/%2262cfbffd-1a07%22	https://websitedemos.net/robots.txt		(from )
21:26:21	391346/391346	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Sep%202025%2014:16:01%20GMT	https://websitedemos.net/digital-agency-02/?customize=template	D:/social%20vyapaar/social%20vyapaar/websitedemos.net/digital-agency-02/index6195.html	(from )
21:26:22	45719/45719	---MCZ	200	added ('OK')	text/css	etag:W/%2268ac2c44-b297%22	https://websitedemos.net/digital-agency-02/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.11.10	D:/social%20vyapaar/social%20vyapaar/websitedemos.net/digital-agency-02/wp-content/themes/astra/assets/css/minified/main.min4641.css	(from https://websitedemos.net/digital-agency-02/?customize=template)
21:26:22	391346/391346	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Sep%202025%2012:54:33%20GMT	https://websitedemos.net/digital-agency-02/	D:/social%20vyapaar/social%20vyapaar/websitedemos.net/digital-agency-02/index.html	(from https://websitedemos.net/digital-agency-02/?customize=template)
21:26:22	79733/79733	---MCZ	200	added ('OK')	text/css	etag:W/%2268ad6c43-13775%22	https://websitedemos.net/digital-agency-02/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=2.4.9	D:/social%20vyapaar/social%20vyapaar/websitedemos.net/digital-agency-02/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend8dff.css	(from https://websitedemos.net/digital-agency-02/?customize=template)
21:26:23	884/884	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22c3e8c16c608186fa6ebf3f85c0c92047%22	https://websitedemos.net/digital-agency-02/feed/	D:/social%20vyapaar/social%20vyapaar/websitedemos.net/digital-agency-02/feed/index.html	(from https://websitedemos.net/digital-agency-02/?customize=template)
21:26:23	776/776	---MCZ	200	added ('OK')	text/css	etag:W/%2268ad6c43-308%22	https://websitedemos.net/digital-agency-02/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=2.4.9	D:/social%20vyapaar/social%20vyapaar/websitedemos.net/digital-agency-02/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor8dff.css	(from https://websitedemos.net/digital-agency-02/?customize=template)
21:26:23	422150/422150	---MCZ	200	added ('OK')	text/css	etag:W/%22687f78a2-67106%22	https://websitedemos.net/digital-agency-02/wp-content/plugins/latepoint/public/stylesheets/front.css?ver=5.1.94	D:/social%20vyapaar/social%20vyapaar/websitedemos.net/digital-agency-02/wp-content/plugins/latepoint/public/stylesheets/front7092.css	(from https://websitedemos.net/digital-agency-02/?customize=template)
21:26:23	21218/21218	---MCZ	200	added ('OK')	text/css	etag:W/%2268ad6bb1-52e2%22	https://websitedemos.net/digital-agency-02/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.43.0	D:/social%20vyapaar/social%20vyapaar/websitedemos.net/digital-agency-02/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min2778.css	(from https://websitedemos.net/digital-agency-02/?customize=template)
21:26:23	53527/53527	---MCZ	200	added ('OK')	text/css	etag:W/%2268ad6bb1-d117%22	https://websitedemos.net/digital-agency-02/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.31.2	D:/social%20vyapaar/social%20vyapaar/websitedemos.net/digital-agency-02/wp-content/plugins/elementor/assets/css/frontend.min242d.css	(from https://websitedemos.net/digital-agency-02/?customize=template)
21:26:23	778/778	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22c3e8c16c608186fa6ebf3f85c0c92047%22	https://websitedemos.net/digital-agency-02/comments/feed/	D:/social%20vyapaar/social%20vyapaar/websitedemos.net/digital-agency-02/comments/feed/index.html	(from https://websitedemos.net/digital-agency-02/?customize=template)
21:26:23	1099/1099	---MCZ	200	added ('OK')	text/css	etag:W/%226503f0c0-44b%22	https://websitedemos.net/digital-agency-02/wp-content/uploads/sites/836/elementor/css/post-7.css?ver=1694757056	D:/social%20vyapaar/social%20vyapaar/websitedemos.net/digital-agency-02/wp-content/uploads/sites/836/elementor/css/post-7aa7e.css	(from https://websitedemos.net/digital-agency-02/?customize=template)
21:26:24	7317/7317	---MCZ	200	added ('OK')	text/css	etag:W/%22689dc775-1c95%22	https://websitedemos.net/digital-agency-02/wp-content/plugins/astra-sites-showcase/assets/css/blocks.css?ver=2.4.12	D:/social%20vyapaar/social%20vyapaar/websitedemos.net/digital-agency-02/wp-content/plugins/astra-sites-showcase/assets/css/blocks18f6.css	(from https://websitedemos.net/digital-agency-02/?customize=template)
21:26:24	600/600	---MCZ	200	added ('OK')	text/css	etag:W/%2268ad6bb1-258%22	https://websitedemos.net/digital-agency-02/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.31.2	D:/social%20vyapaar/social%20vyapaar/websitedemos.net/digital-agency-02/wp-content/plugins/elementor/assets/css/widget-heading.min242d.css	(from https://websitedemos.net/digital-agency-02/?customize=template)
21:26:24	10470/10470	---MCZ	200	added ('OK')	text/css	etag:W/%2268ad6bb1-28e6%22	https://websitedemos.net/digital-agency-02/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.31.2	D:/social%20vyapaar/social%20vyapaar/websitedemos.net/digital-agency-02/wp-content/plugins/elementor/assets/css/widget-icon-list.min242d.css	(from https://websitedemos.net/digital-agency-02/?customize=template)
21:26:24	254/254	---MCZ	200	added ('OK')	text/css	etag:W/%2268ad6bb1-fe%22	https://websitedemos.net/digital-agency-02/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.31.2	D:/social%20vyapaar/social%20vyapaar/websitedemos.net/digital-agency-02/wp-content/plugins/elementor/assets/css/widget-image.min242d.css	(from https://websitedemos.net/digital-agency-02/?customize=template)
21:26:25	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%2268ad6bb1-4057%22	https://websitedemos.net/digital-agency-02/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	D:/social%20vyapaar/social%20vyapaar/websitedemos.net/digital-agency-02/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://websitedemos.net/digital-agency-02/?customize=template)
21:26:25	5486/5486	---MCZ	200	added ('OK')	text/css	etag:W/%2268ad6bb1-156e%22	https://websitedemos.net/digital-agency-02/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.31.2	D:/social%20vyapaar/social%20vyapaar/websitedemos.net/digital-agency-02/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min242d.css	(from https://websitedemos.net/digital-agency-02/?customize=template)
21:26:25	2459/2459	---MCZ	200	added ('OK')	text/css	etag:W/%2268ad6bb1-99b%22	https://websitedemos.net/digital-agency-02/wp-content/plugins/elementor/assets/css/widget-image-gallery.min.css?ver=3.31.2	D:/social%20vyapaar/social%20vyapaar/websitedemos.net/digital-agency-02/wp-content/plugins/elementor/assets/css/widget-image-gallery.min242d.css	(from https://websitedemos.net/digital-agency-02/?customize=template)
21:26:25	29547/29547	---MCZ	200	added ('OK')	text/css	etag:W/%22686f9c2e-736b%22	https://websitedemos.net/digital-agency-02/wp-content/uploads/sites/836/elementor/css/post-6.css?ver=1752144942	D:/social%20vyapaar/social%20vyapaar/websitedemos.net/digital-agency-02/wp-content/uploads/sites/836/elementor/css/post-6b2d7.css	(from https://websitedemos.net/digital-agency-02/?customize=template)
21:26:25	21218/21218	---MCZ	200	added ('OK')	text/css	etag:W/%2268ad6bb1-52e2%22	https://websitedemos.net/digital-agency-02/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.34.0	D:/social%20vyapaar/social%20vyapaar/websitedemos.net/digital-agency-02/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min705c.css	(from https://websitedemos.net/digital-agency-02/?customize=template)
